,statistic,n_teams,total_teams,perc
0,+/-,9,17,0.5294117647058824
1,3P,13,17,0.7647058823529411
2,3P%,11,17,0.6470588235294118
3,3PA,14,17,0.8235294117647058
4,AST,10,17,0.5882352941176471
5,BLK,10,17,0.5882352941176471
6,DRB,10,17,0.5882352941176471
7,FG,13,17,0.7647058823529411
8,FG%,12,17,0.7058823529411765
9,FGA,14,17,0.8235294117647058
10,FT,11,17,0.6470588235294118
11,FT%,7,17,0.4117647058823529
12,FTA,12,17,0.7058823529411765
13,ORB,14,17,0.8235294117647058
14,PTS,14,17,0.8235294117647058
15,STL,7,17,0.4117647058823529
16,TOV,8,17,0.47058823529411764
17,TRB,10,17,0.5882352941176471
